,century,word,count
5158,1900,matilda,6
4719,1900,hold,6
3596,1900,calm,6
1862,1700,live,6
4875,1900,john,6
3372,1900,battle,6
2697,1800,lay,6
6677,1900,weak,6
6104,1900,sound,6
6543,1900,two,6
4242,1900,feet,6
2236,1700,yet,6
6663,1900,watch,6
4639,1900,haste,6
3933,1900,desolate,6
4990,1900,left,6
2801,1800,night,6
3397,1900,bed,6
4307,1900,flame,6
383,600,might,6
1605,1700,can,6
3184,1900,about,6
6224,1900,strength,6
6819,1900,years,6
3469,1900,blind,6
4392,1900,forth,6
6390,1900,thousand,6
6680,1900,weary,6
345,600,light,6
5834,1900,sat,6
3546,1900,broke,6
5586,1900,proud,6
3947,1900,die,6
4580,1900,grief,6
6372,1900,think,6
4292,1900,first,6
5253,1900,mouth,6
5567,1900,prayer,6
6431,1900,today,6
160,600,each,6
5237,1900,morning,6
2137,1700,thy,6
3749,1900,comes,6
3234,1900,alice,6
293,600,host,6
6738,1900,wife,6
1761,1700,give,6
4465,1900,gentle,6
4474,1900,ghost,6
6369,1900,thine,6
2258,1800,along,6
3746,1900,columns,6
6732,1900,whom,6
6592,1900,vain,6
4358,1900,folk,6
1933,1700,now,6
3614,1900,captain,6
5756,1900,roar,6
4848,1900,ive,6
5738,1900,right,6
2754,1800,many,6
2120,1700,thee,6
716,600,your,6
6133,1900,spoke,6
6766,1900,wise,6
161,600,earth,6
3213,1900,after,6
6041,1900,slow,6
2971,1800,some,6
4892,1900,kept,6
2733,1800,love,6
4259,1900,fierce,6
2195,1700,what,6
5008,1900,lies,6
4863,1900,jane,6
3609,1900,cannot,6
4986,1900,leaves,6
1875,1700,make,5
2285,1800,battle,5
5295,1900,native,5
3433,1900,beyond,5
5927,1900,sharp,5
5831,1900,sands,5
415,600,old,5
5943,1900,ship,5
2396,1800,could,5
3420,1900,belton,5
3375,1900,bay,5
6437,1900,told,5
3386,1900,beat,5
4985,1900,leave,5
6370,1900,thing,5
4344,1900,fly,5
2823,1800,out,5
5016,1900,lift,5
5911,1900,seven,5
4201,1900,falls,5
4709,1900,hills,5
5007,1900,lie,5
3043,1800,think,5
5322,1900,news,5
5035,1900,line,5
3682,1900,child,5
492,600,round,5
2277,1800,away,5
6460,1900,town,5
4147,1900,eternal,5
3048,1800,though,5
4988,1900,led,5
3399,1900,been,5
5850,1900,scenes,5
3497,1900,boston,5
6222,1900,street,5
2623,1800,hand,5
1420,1600,mother,5
6173,1900,steady,5
6170,1900,stay,5
6100,1900,sought,5
4443,1900,gallant,5
5447,1900,passed,5
2632,1800,have,5
3557,1900,brow,5
2968,1800,soft,5
3148,1800,will,5
2519,1800,feel,5
6045,1900,small,5
5090,1900,lovely,5
2883,1800,rest,5
2512,1800,famous,5
1536,1700,age,5
2129,1700,this,5
4066,1900,dying,5
5524,1900,pleasure,5
4737,1900,hope,5
6652,1900,warm,5
6096,1900,sorrow,5
5423,1900,pale,5
3220,1900,ages,5
3129,1800,wha,5
3905,1900,deck,5
1672,1700,doth,5
154,600,dread,5
6185,1900,step,5
3134,1800,which,5
4255,1900,few,5
6205,1900,storm,5
3248,1900,always,5
6735,1900,why,5
4764,1900,hundred,5
4535,1900,goes,5
6739,1900,wild,5
2898,1800,round,5
830,700,has,5
2762,1800,men,5
202,600,fire,5
6672,1900,wave,5
6670,1900,water,5
6071,1900,soft,5
5110,1900,mad,5
6158,1900,star,5
143,600,dire,5
4073,1900,ear,5
3631,1900,castle,5
5261,1900,much,5
347,600,like,5
4935,1900,laid,5
2814,1800,old,5
6526,1900,turned,5
4116,1900,empty,5
4567,1900,grave,5
6826,1900,yon,5
1314,1400,your,5
4409,1900,fray,5
2675,1800,joys,5
390,600,more,5
2979,1800,soul,5
1583,1700,both,5
6836,1900,youre,5
5250,1900,mountain,5
2435,1800,died,5
6302,1900,swept,5
5069,1900,looked,5
3332,1900,awful,5
4931,1900,lady,5
2479,1800,england,5
4314,1900,fled,5
2493,1800,every,5
6313,1900,take,5
6801,1900,wounded,5
2787,1800,must,5
5758,1900,robber,5
3618,1900,care,5
6111,1900,space,5
3475,1900,bloody,5
5581,1900,profound,5
1343,1600,did,5
6115,1900,speak,5
3521,1900,break,5
4324,1900,flies,5
4411,1900,freedom,5
2466,1800,earth,5
2432,1800,did,5
5162,1900,maynard,4
4284,1900,fingers,4
4266,1900,fight,4
6090,1900,song,4
6362,1900,therefore,4
6089,1900,son,4
3540,1900,brings,4
2927,1800,shall,4
6093,1900,soon,4
6129,1900,spite,4
2946,1800,sight,4
3511,1900,brain,4
6098,1900,sorter,4
2913,1800,secret,4
3542,1900,british,4
5169,1900,meet,4
848,700,ive,4
3556,1900,brought,4
2046,1700,shall,4
2106,1700,sweet,4
2101,1700,such,4
6106,1900,south,4
5055,1900,living,4
608,600,this,4
6278,1900,sure,4
4627,1900,hard,4
6044,1900,slumber,4
6251,1900,sudden,4
5962,1900,shout,4
6252,1900,suddenly,4
2180,1700,wake,4
5236,1900,morn,4
4335,1900,flower,4
5080,1900,lost,4
4681,1900,held,4
2244,1800,about,4
5093,1900,loves,4
5245,1900,mother,4
