,century,word,count
1946,1800,joy,6
2061,1800,night,6
5228,1900,spoke,6
3151,1900,die,6
2002,1800,love,6
5341,1900,such,6
4055,1900,kept,6
2958,1900,columns,6
4028,1900,jane,6
2828,1900,captain,6
4013,1900,ive,6
2633,1900,behind,6
5738,1900,weak,6
4943,1900,sat,6
5741,1900,weary,6
162,600,earth,6
161,600,each,6
1565,1800,along,6
2416,1900,about,6
4870,1900,roar,6
1547,1700,you,6
5792,1900,whom,6
5798,1900,wife,6
1263,1700,live,6
3813,1900,haste,6
2823,1900,cannot,6
4853,1900,right,6
2813,1900,calm,6
1296,1700,more,6
5825,1900,wise,6
3484,1900,first,6
2690,1900,blind,6
1473,1700,thy,6
4692,1900,prayer,6
2766,1900,broke,6
5877,1900,years,6
2737,1900,brave,6
4168,1900,lies,6
2623,1900,bed,6
3649,1900,get,6
5665,1900,vain,6
2961,1900,comes,6
3543,1900,folk,6
294,600,host,6
2222,1800,some,6
1588,1800,battle,5
2479,1900,always,5
4167,1900,lie,5
5280,1900,step,5
4176,1900,lift,5
2658,1900,beyond,5
5105,1900,sing,5
2361,1800,wha,5
5860,1900,wounded,5
3503,1900,fled,5
1902,1800,hand,5
5402,1900,take,5
2694,1900,blood,5
1581,1800,away,5
3712,1900,goes,5
3593,1900,freedom,5
3932,1900,hundred,5
5268,1900,steady,5
1324,1700,one,5
5265,1900,stay,5
4266,1900,mad,5
1466,1700,this,5
2074,1800,old,5
2291,1800,though,5
4940,1900,sands,5
5253,1900,star,5
2048,1800,must,5
3315,1900,empty,5
4151,1900,left,5
4462,1900,news,5
2559,1900,awful,5
5540,1900,town,5
1695,1800,could,5
2445,1900,after,5
2286,1800,think,5
4195,1900,line,5
1948,1800,joys,5
4406,1900,much,5
3397,1900,falls,5
3622,1900,gallant,5
1968,1800,lay,5
4398,1900,mouth,5
493,600,round,5
1760,1800,earth,5
3110,1900,deck,5
3906,1900,hope,5
2832,1900,care,5
5795,1900,why,5
2602,1900,bay,5
3137,1900,desolate,5
4872,1900,robber,5
2219,1800,soft,5
5519,1900,told,5
4395,1900,mountain,5
1316,1700,now,5
3888,1900,hold,5
3497,1900,flame,5
144,600,dire,5
5316,1900,strength,5
2845,1900,castle,5
3878,1900,hills,5
5314,1900,street,5
155,600,dread,5
5047,1900,ship,5
416,600,old,5
2645,1900,belton,5
5017,1900,seven,5
2718,1900,boston,5
2895,1900,child,5
5198,1900,sought,5
4748,1900,rain,5
1131,1700,doth,5
391,600,more,5
1809,1800,feel,5
5194,1900,sorrow,5
1025,1700,age,5
3267,1900,dying,5
5718,1900,warm,5
3643,1900,gentle,5
3837,1900,hearts,5
5171,1900,soft,5
4247,1900,lovely,5
4149,1900,led,5
1080,1700,can,5
1121,1700,did,5
5146,1900,small,5
4706,1900,profound,5
4146,1900,leave,5
3436,1900,feet,5
2625,1900,been,5
2452,1900,ages,5
4582,1900,passed,5
5457,1900,thing,5
1785,1800,every,5
348,600,like,5
203,600,fire,5
4227,1900,looked,5
1732,1800,died,5
5733,1900,wave,5
1802,1800,famous,5
4959,1900,scenes,5
1460,1700,thee,5
5725,1900,watch,5
5894,1900,youre,5
5033,1900,sharp,5
858,1400,your,5
5211,1900,speak,5
4097,1900,laid,5
3513,1900,flies,5
5209,1900,space,5
5601,1900,turned,5
2152,1800,round,5
3530,1900,fly,5
2380,1800,will,5
1517,1700,which,4
616,600,thus,4
3136,1900,desire,4
1402,1700,shall,4
5092,1900,sight,4
3950,1900,ill,4
1729,1800,did,4
2027,1800,men,4
4094,1900,lady,4
4738,1900,quick,4
5368,1900,sure,4
1523,1700,whom,4
4548,1900,owls,4
2732,1900,brain,4
4740,1900,quiet,4
1445,1700,such,4
2799,1900,burning,4
2741,1900,break,4
2709,1900,bold,4
1743,1800,doth,4
609,600,this,4
2762,1900,british,4
3662,1900,girl,4
4383,1900,morn,4
4086,1900,known,4
3931,1900,human,4
2609,1900,bear,4
2760,1900,brings,4
4391,1900,mother,4
2604,1900,beach,4
2775,1900,brought,4
4699,1900,pretty,4
2776,1900,brow,4
4686,1900,power,4
4674,1900,poor,4
2753,1900,bridge,4
5393,1900,swift,4
1498,1700,vain,4
1502,1700,wake,4
4711,1900,proud,4
5391,1900,swept,4
3912,1900,horror,4
4533,1900,others,4
2526,1900,arose,4
3801,1900,hard,4
1530,1700,wit,4
4984,1900,secret,4
881,1600,did,4
5196,1900,sorter,4
1139,1700,dreaming,4
4053,1900,keep,4
1636,1800,bright,4
1827,1800,first,4
3033,1900,crept,4
1630,1800,brave,4
5225,1900,spite,4
1157,1700,ever,4
3852,1900,held,4
935,1600,may,4
2613,1900,beat,4
4941,1900,sang,4
4459,1900,new,4
5191,1900,soon,4
5188,1900,son,4
2555,1900,awake,4
5185,1900,sometimes,4
2589,1900,bare,4
3807,1900,harrington,4
4560,1900,pale,4
5161,1900,snow,4
1791,1800,eye,4
1793,1800,face,4
1065,1700,both,4
2628,1900,began,4
1796,1800,fair,4
5172,1900,softly,4
1667,1800,cheek,4
5001,1900,sell,4
2912,1900,city,4
1653,1800,came,4
4049,1900,just,4
4933,1900,sailed,4
4932,1900,sail,4
1281,1700,may,4
3773,1900,gulf,4
4642,1900,plain,4
3099,1900,deadly,4
1922,1800,him,4
5329,1900,strong,4
1772,1800,england,4
5436,1900,terror,4
2599,1900,battle,4
4868,1900,road,4
2533,1900,art,4
1258,1700,life,4
5342,1900,sudden,4
5343,1900,suddenly,4
4861,1900,rise,4
4652,1900,please,4
4653,1900,pleasure,4
1919,1800,here,4
1914,1800,hearts,4
3716,1900,gone,4
1568,1800,anderson,4
4065,1900,king,4
1194,1700,give,4
1887,1800,good,4
3711,1900,gods,4
1891,1800,grave,4
1892,1800,great,4
4071,1900,kisses,4
4444,1900,near,4
1898,1800,gun,4
2661,1900,billows,4
5299,1900,storm,4
4437,1900,native,4
1219,1700,him,4
5301,1900,stormy,4
4075,1900,knees,4
4445,1900,nearer,4
4919,1900,rustling,4
4098,1900,lake,4
506,600,sea,4
33,600,away,4
5749,1900,weep,4
2496,1900,answer,4
3194,1900,done,4
3320,1900,end,4
2354,1800,weep,4
2451,1900,aged,4
3440,1900,felt,4
2179,1800,shall,4
2320,1800,twas,4
3273,1900,ear,4
518,600,ship,4
5744,1900,wed,4
5799,1900,wild,4
2118,1800,proud,4
2378,1800,wiles,4
2166,1800,secret,4
3361,1900,everywhere,4
5560,1900,trees,4
2230,1800,souls,4
2229,1800,soul,4
4314,1900,maynard,4
3225,1900,dreams,4
2357,1800,well,4
5645,1900,until,4
5646,1900,unto,4
3476,1900,fingers,4
5761,1900,west,4
2366,1800,which,4
2083,1800,out,4
2213,1800,smiles,4
3498,1900,flames,4
5768,1900,wheel,4
2307,1800,trace,4
4131,1900,leader,4
5847,1900,word,4
4213,1900,living,4
5659,1900,used,4
5506,1900,time,4
2197,1800,sight,4
2448,1900,against,4
2494,1900,another,4
5884,1900,yon,4
3296,1900,eer,4
5895,1900,yours,4
3453,1900,fierce,4
243,600,glory,4
5703,1900,waiting,4
2265,1800,sweet,4
4238,1900,lost,4
4196,1900,lines,4
4147,1900,leaves,4
5449,1900,therefore,4
3345,1900,eternal,4
2406,1800,you,4
5731,1900,water,4
5584,1900,TRUE,4
3449,1900,few,4
2156,1800,said,4
2038,1800,morn,4
2139,1800,rest,4
3411,1900,fast,4
5831,1900,without,4
2430,1900,across,4
4120,1900,laughter,4
4851,1900,rifles,3
2196,1800,sigh,3
3400,1900,fame,3
3253,1900,dumb,3
5145,1900,slumber,3
5635,1900,unknown,3
2573,1900,bad,3
5623,1900,under,3
4532,1900,other,3
5810,1900,windows,3
5639,1900,unseen,3
3885,1900,himself,3
4880,1900,rode,3
5143,1900,slowly,3
4210,1900,lived,3
2682,1900,bless,3
99,600,come,3
5124,1900,skies,3
5817,1900,winked,3
328,600,know,3
5120,1900,six,3
4302,1900,marked,3
5633,1900,union,3
4303,1900,marriage,3
5578,1900,trooping,3
964,1600,rhymes,3
4215,1900,locks,3
5215,1900,sped,3
1562,1800,air,3
2199,1800,silence,3
3586,1900,frail,3
3769,1900,grown,3
4646,1900,plant,3
3886,1900,hit,3
2164,1800,scots,3
1574,1800,april,3
2583,1900,band,3
1259,1700,light,3
4649,1900,play,3
368,600,make,3
3892,1900,holy,3
2829,1900,captains,3
3395,1900,fall,3
5592,1900,tuffet,3
4490,1900,nothing,3
1812,1800,feet,3
3260,1900,dwell,3
5187,1900,somewhere,3
3393,1900,faith,3
5189,1900,song,3
3580,1900,found,3
3019,1900,craft,3
4199,1900,lip,3
127,600,day,3
128,600,days,3
863,1600,all,3
3583,1900,four,3
5809,1900,window,3
2827,1900,cap,3
5152,1900,smiling,3
3747,1900,gray,3
4508,1900,off,3
3282,1900,eastern,3
3385,1900,fail,3
1550,1800,about,3
5611,1900,twilight,3
1548,1700,young,3
1792,1800,eyes,3
3570,1900,form,3
1274,1700,make,3
360,600,lost,3
5204,1900,south,3
2585,1900,banner,3
5170,1900,sod,3
1799,1800,fall,3
4202,1900,list,3
5095,1900,sign,3
5114,1900,sins,3
1666,1800,charms,3
5732,1900,waters,3
5737,1900,ways,3
3824,1900,having,3
254,600,greeks,3
2881,1900,cheek,3
2285,1800,things,3
2245,1800,steal,3
4576,1900,part,3
5692,1900,void,3
5691,1900,voices,3
5025,1900,shalt,3
5026,1900,shame,3
3853,1900,hell,3
191,600,fate,3
265,600,hands,3
3529,1900,flows,3
3330,1900,enough,3
4249,1900,lovers,3
3532,1900,foam,3
4603,1900,pay,3
2621,1900,become,3
2936,1900,closed,3
2938,1900,cloud,3
4240,1900,loud,3
5007,1900,sent,3
